ruta,fereastra_orara,timestamp_local,t_rel_s,v_kmh,rpm,maf_g_s,sarcina_motor_pct,t_lichid_racire_C,t_aer_admisie_C,t_ambiant_C,altitudine_m,p_galerie_psi,HDOP,a_ms2,dist_cum_m,stationare,clasa_RDE,segment,debit_comb_model_ml_s,comb_cum_l_model,CO2_g_s_model,CO2_g_s_stoich_MAF,debit_comb_fizic_ml_s,CO2_g_s_fizic
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:54,2372,50.251608291636806,1453.9097569692651,20.70258041458184,26.76817726947792,89.0,35.0,21.0,34.06258041458184,17.18296640457467,1.980271875492938,0.0441,38513.9,0,urban,S4_urban_retur,0.4103,1.8379,1.0826,4.5117,0.5253,1.3861
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:55,2373,50.96640457469619,1441.5795210864908,20.738320228734807,29.291408148677554,89.0,35.0,21.0,34.09832022873481,17.390257326661892,2.3779367389888195,0.0084,38528.1,0,urban,S4_urban_retur,0.5005,1.8384,1.3206,4.5195,0.4554,1.2017
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:56,2374,50.31177325581397,1471.0174418604647,20.83840843023255,28.33466569767434,89.0,35.0,21.0,34.40530523255816,16.97,1.9231090559855653,-0.0023,38542.0,0,urban,S4_urban_retur,0.4891,1.8389,1.2906,4.5413,0.4237,1.1179
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:57,2375,50.950047125353535,1454.787229029217,20.54402450518384,25.138963242224243,89.0,35.0,21.0,35.19010367577778,16.948020735155556,2.163235684717563,-0.0423,38556.2,0,urban,S4_urban_retur,0.3186,1.8392,0.8407,4.4772,0.3419,0.902
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:58,2376,50.00754005655025,1460.206644674836,20.05392082940613,25.874118755890805,89.0,35.0,21.0,33.11658812441055,16.53331762488211,1.8297841294211776,-0.2545,38570.1,0,urban,S4_urban_retur,0.3781,1.8396,0.9976,4.3704,0.0694,0.1832
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:53:59,2377,49.11737523105357,1447.9905268022187,19.621691312384463,21.332837338262333,88.0,35.0,21.0,35.75868761552679,16.291645101663573,1.8576733481997685,-0.001,38583.7,0,urban,S4_urban_retur,0.1484,1.8397,0.3916,4.2762,0.4125,1.0885
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:54:00,2378,50.0,1434.8760504201728,19.93865546218497,26.113193277311662,88.07563025210094,35.0,21.0,36.23025210084037,16.70193277310927,1.7345020586196214,0.1794,38597.6,0,urban,S4_urban_retur,0.3489,1.8401,0.9205,4.3453,0.8187,2.1603
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:54:01,2379,50.40909090909078,1473.3522727272757,20.908181818181816,31.96272727272784,89.0,35.0,21.0,36.313636363636455,17.088636363636326,2.9108705016780583,0.1389,38611.6,0,urban,S4_urban_retur,0.6797,1.8408,1.7933,4.5565,0.7372,1.9452
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:54:02,2380,51.0,1462.0658554044378,20.897451682176097,28.427895490336645,88.74946313528996,35.0,21.0,35.64946313528996,17.222419470293495,2.4036195532713784,0.0821,38625.8,0,urban,S4_urban_retur,0.5204,1.8413,1.3731,4.5542,0.6208,1.6381
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:54:03,2381,51.0,1466.5397279885467,20.833027916964927,25.62188260558347,88.03364352183252,35.0,21.0,34.933643521832515,17.115046528274878,1.7117306067927471,-0.1314,38640.0,0,urban,S4_urban_retur,0.3849,1.8417,1.0156,4.5402,0.1429,0.3772
DIESEL_Constanta-DN3-Murfatlar-retur,09-10,2026-09-11 09:54:04,2382,50.05362462760684,1466.9865938430985,19.94987090367436,22.89693147964273,88.0,35.0,21.0,34.9,16.42860973187692,2.679376503623982,-0.2461,38653.9,0,urban,S4_urban_retur,0.1994,1.8419,0.5262,4.3477,0.0694,0.1832
